reviewText,Sentiment
"i really do enjoy troy denning's work, i want everyone who reads this review to know this.  i loved star by star and i very much enjoyed tattooine ghost.  this book ""a forest apart"" wasn't on par with his other works.  it wasn't without it's charm, but it had things in it that i didn't like.the story itself is pretty simple.  it's a coming of age story for chewbacca's son, and instead of coming of age on kashyyyk, he is growing up on coruscant.  it's not horrible, and we find out that lumpy is an avid gamer and enjoys playing video games and that he idolizes his father.***spoilers***  ***spoilers***  ***spoilers***first of all, why is han solo on the cover?  he's not even in this story other than a few mentions of his name.  why not have chewbacca and lumpy instead of han and chewie?  also, i hate books where chewbacca's grunts and growls are translated.  like in the black fleet trilogy, he had his speech translated and it was just stupid.  i feel that he works much better as a strong silent type who speaks through his actions rather than his words.  i mean imagine in characters like jason vorhees, michael meyers, silent bob, or sphynx (from gone in 60 seconds), all just started having lengthy conversations throughout their movies?  they lose some of what makes those characters awesome.  sometimes an author can say very much by having a character say very little.my only other problem with the book is when chewie and malla have the droid ""it"" in their blaster sights, his back is to them and he doesn't see them.  why don't they just shoot him?  instead they send lumpy out as a ""distraction.""  yet he doesn't really do anything worth mentioning to distract it and his minions.  he walks out on the observation deck where they are hiding, opens the window and drops down to the level where it and his minions are loading nerve gas onto transport ships.  i mean that's not much of a distraction, besides the point of a distraction is to get someone's attention away from one spot so you can do something while they are not looking.  well, it wasn't looking in your direction to begin with, so why bother?  they could have just taken up positions on the observation deck and shot him.***end spoilers***  ***end spoilers***  ***end spoilers***okay so this story wasn't really bad other than a few minor details i didn't like.  i did like seeing that even in a galaxy far far away that we have sons who want to be like their fathers and get into trouble when they do rebellious things.  this story reminded me of what a good writer troy denning is and it reminded me to add his other works to my wishlist.check this one out!",Positive
"timothy zahn's fool's bargain is a short story originally published in e-book form and set before the events of his novel survivor's quest. this tale covers an assignment aurek company of the imperial 501st receives on the embattled planet kariek. the focus is on the four troopers who comprise aurek-seven and in particular their leader twister. this is the same squad that plays a part in survivor's quest, minus one personnel change which is detailed in this story. there aren't many expanded universe stories that take the imperial point of view, so this is a welcome perspective here. by this stage in the galaxy's history, years after the battle of endor, certain elements of the empire have developed a more enlightened perspective of the universe around them. these troopers are honorable soldiers fighting for a government they believe in, one that no longer ruthlessly oppresses subject populations but rather plays more of a protector role.the empire of the films is notably a human-centric organization. zahn opens the door to alien imperials in this story with the introduction of su-mil, an eickarie and a kariek native swept up in a civil war. there is a clever bit of deception on su-mils part involving the eickarie concept of a lie (they term a lie ""left-handed,"" vs. a truth which is ""right-handed"" - this must be awkward for the native left-handed eickaries!). by fighting together, twister sees a potentially valuable ally in su-mil and we get a perspective of how a stormtrooper unit might be something a soldier would actually aspire to join, rather than simply being cannon fodder for rebel heroes.all in all, fool's bargain is an enjoyable vignette of imperial life that expands a bit on characters from survivor's quest and also provides an interesting preview of the imperial perspective zahn went on to explore more thoroughly in his novel allegiance. it can be purchased in electronic form and is also available in the paperback version ofsurvivor's quest (star wars).",Positive
"not too bad, an intro-short-story for some bigger upcoming novel. it's timothy zahn, what did you expect from the master of science fiction.",Negative
i absolutely love this book. though it is short it was written by zahn. any star wars fan knows this book is a good one. i would recommend this book to anyone who loves star wars.,Positive
what can i say stormtroopers.  a story with troopers is as awesome as a story with any sith lord.  awesome!!!!!!,Positive
"for whatever reason, star wars short stories are a bit of a hit or miss. the ""tales of..."" are great in that they explain background characters. however,fool's bargaindidn't really fit the bill. it's a short story about a relatively minor and unmemorable character from timothy zahn'ssurvivor's quest (star wars). the story itself is basically about stormtroopers storming a fortress with some mysterious warlord. unlike most of zahn's other work, this is mostly a book of action, not intricate plot development. in fact, the story ends with an exciting twist, but doesn't develop it. i feel like this short story would have been better had it been about a character we all know and love, or included a really interesting plot twist. also, just to note, this same story is included in the paperback copy ofsurvivor's quest (star wars), so there's no need to buy the separate kindle version.",Positive
"as an ebook it reads very well on my kindle, but it really doesn't seem to belong where it is. maybe at the end of the dark nest trilogy or legacy of the force, but it just seems not to have a place it belongs in the star wars universe. at least not to me.",Negative
"** note: this story appears as a bonus in the paperback edition of survivor's quest. **fool's bargain is a short story featuring the stormtroopers of aurek-four, a unit of the imperial 501st legion of the empire of the hand.  it takes place shortly before the events of survivor's quest, but is probably best read after.the empire of the hand is involved in a war to rid the native eickarie people of their latest warlord, but the 501st curious orders are very specific - take the warlord alive.  this story is tightly focused, with a couple of characters firmly at the center.  there's good detail here but for some reason it doesn't feel as well developed as other short stories i've read by zahn.  also,  those who look for big names in their star wars stories will want to give this a pass.  a couple of minor characters from survivor's quest show up in largely supporting roles, but there are no movie characters nor beloved favorites here.but despite these caveats fool's bargain is a good short story that gives further glimpse of zahn's take on stormtroopers, which he touched on in survivor's quest, and would continue to explore in later novels (allegiance and choices of one).",Positive
"i admit it, i snapped this up the moment i saw it on new releases, because i tend to do that with anything written by timothy zahn. he is, in my opinion, one of the best contemporary sci-fi authors where it comes to world building, intricate plot, and edge-of-seat action. his thrawn and conqueror's trilogies were incredible, quadrail and cobra were very unique and engaging, and even his one-off novels like icarus hunt and outbound flight are excellent. so i figured this would be too.first off, when i hit the end my jaw dropped and i literally said aloud ""huh? that's it?!"" i then spent several minutes looking to see if it picked up somewhere else. it is a really short story, barely longer than some of the ones that appear in the 'tales' star wars series (and those books have several of them!). it's also, i must say, a lot less interesting than most of them and probably the single weakest plot i've seen zahn write. it's not terrible, but it really isn't that great either- there's no twists and at the end you're left wondering where the other half of the story is. the novella revolves around a force of stormtroopers who are only somewhat memorable (as is the case with most such white-armored shock troops) and though there is quite a bit of action, it kind of reads like a (short) movie or videogame script.overall, not worth paying for. in fact, it should really be free if you ask me.",Positive
"i love timothy zahn's work!  he does what no other writer, not even george lucas himself can do.  he takes the rank and file storm troopers and gives them personalities, talents, skills and makes them multi-dimensional characters that people can get invested in.where most writers show the storm troopers as faceless cannon fodder who can't hit anything with their blasters, zahn shows them as competent sharpshooting elite commandos who can think on their feet and adapt to any situation as well as follow orders.***spoilers***  ***spoilers***  ***spoilers***so the story is a pretty basic one.  there is an alien warlord who is ruling a planet with an iron fist, and the empire decides it is time to go and free the plant of his rule, so they dispatch the 501st legion a.k.a. vader's fist to take him down.there is something i do wonder about though, this takes place after vader is dead, and after thrawn's rule has ended.  so why does the 501st legion keep calling themselves ""vader's fist?""  vader's not around anymore?  do they keep the name just for the sake of nostalgia?  it's not really a major gripe, just something that makes me scratch my head.our main characters are three storm troopers who all have different skills and specialties.  they infiltrate the warlord's fortress and meet up with some of the local freedom fighters and strike a deal with them.  if the troopers help them free their imprisoned comrades, they will help the troopers get inside and take out the warlord's troops and bring him to justice.the troopers agree and they infiltrate the stronghold together.  later it seems the rebels have betrayed the storm troopers, but it turns out it is just a very elaborate ruse and the rebels were always on the side of the troopers and the prisoners are freed and the warlord is captured by the empire and brought to justice.later the head of the rebels is offered a position in the 501st legion, which is awesome!  it really helps to enforce the fact that the empire has learned that just having humans in their military doesn't help, it's a hindrance and it was the main reason the rebel alliance was able to defeat them.***end spoilers***  ***end spoilers***  ***end spoilers***zahn gives us action, gun fights, intrigue and a little bit of politics as well in this story.  any fan of star wars or zahn's writing will enjoy this book very much!",Positive
"the hero in this story has been living in nyc and working for a sort of crime boss.  beaten up and tossed in an empty train car by the competition, he ends up out west and, by a series of flukes, becomes the sheriff of a small western town that is in serious trouble.  while it is not one of my l'amour favorites, he tells it with his usual flair and attention to detail and it's well worth reading.",Negative
"the iron marshall, by louie l`amour is one of his best. of course all of his are the best.louie is a man who knew the west. his books make it possible to really feel how it was.",Positive
this is yet another  l'amour winner. i have yet to read a book of his that was less than great. he has the ability to keep you enthalled enough in the story to make you not want to put the book down until it is finished.,Positive
i almost didn't get this book because of the cover but since it was double 'll  i did.  as always the author came through.  good book and characters.  the plot was interesting,Positive
"this story by louis l'amour was the very first of his novels that i ever read.  novels with a western theme were not my thing when i was growning up, so imagine my surprise when i just sort of drifted into this book one rainy afternoon.  i guess i was attracted to it by the fact that it opens in new york city, not the deserts of new mexico.anyway, i soon found that l'amour has a writing style just as smooth as silk, and i found myself sliding into this book as easily as if he took me by the hand and led me to an alter.  since then i have read several more of l'amour's books and have enjoyed all of them.  i will review them here over the next few weeks, time permitting.this book tells the story of how a young man from new york city ends up in a small kansas town and picks up the job of being the sheriff one day before all hell is scheduled to break loose.  others have outlined the text already, so i won't bore you with yet another outline.  i'll just say that if you have not read any of louis l'amour in the past, this would be a really great place to start, or even to get reacquainted.  while you do that, i'm gonna find another l'amour book to read.:)",Positive
"this is how it was in the big gambling and corrupt cities of the eastern seaboard.  then go out west and become a real hero.  again, the video was also good.",Positive
"pat anjali is the da man of an overview of spiritual practice, from an indian perspective 600 ad.  (or is that 800 ad?)the most controversial part of pj, imo, is he discusses at length the siddhis or powers accruing from sp.but the definition of sp, according to pat is in the opening:yogaham chitta vritti narodaham.yoga is the stilling of the thought  waves of the mind.orcloseness to god is a result of clearing out childish distractions of the mind.a must have book on every learned person's book shelf, but see another reviewer's comments on the translation - evidently thekindle is crap, or scholarly quality.so - buy the book, and avoid the kindle.",Positive
"simply stated and translated, this copy is easily understood. the review says it has to have eleven more words to be accepted, so here they are.",Positive
i have several translations of the yoga sutras and did find this one a fairly understandable one. it has a decent layout and you can move through it fairly fast.,Positive
"did not impress me that much, as i have read the one written by the yogaville founder (which was detailed and informative)",Positive
as an aspiring yogini this is required reading.  it's not an easy read but it's essential and the translation was good.,Positive
"i thought it would be instructive to compare this charles johnston translation, sutra by sutra, to chip hartranft's shambhala version of patanjali's yoga sutras.  i'm glad i also have the shambhala book, because some of the typos in this kindle book make it at times a real head scratcher.  here are some of the funnier ones:* through the weakening of the causes of bondage, and by learning the method of sassing, the consciousness is transferred to the other body.* vestures of consciousness are built up in conformity with the boston of the feeling of selfhood.* in the internals of the batik, other thoughts will arise, through the impressions of the dynamic mind-images.i'm glad i had the hartranft version to be able to figure out what was being said.unlike hartranft and most modern translators, johnston takes exception with calling the sutras ""aphorisms"", pointing out that aphorisms are really standalone gems of wisdom, while sutras are interdependent. i kind of agree with that.  but, being an older translation, the word use is a bit quaint.  for example, johnson likes the word ""psychic"", but more in the sense of psychological, not extrasensory perception.  he uses the phrase ""judicial action"" to connote ""reflection-free"".  he's fond of the word ""unwisdom"", which hartranft translates as ""not seeing things as they are"".  and he does over-explain sutras that don't need that much explanation to comprehend.  but then, hartranft goes into great detail also.the lesson to be learned is that, if you're interested in the original philosophy of yoga and not just the postures, you should read more than one version of this seminal and relatively short book.  translations are always tricky, so if you compare and contrast different versions from various time periods and interpreters, you'll achieve a better understanding of the original work.",Positive
"l'amour's story of a man whose wife has killed herself before a band of thieves and thugs can rape and murder her, keeps your interest from the first.  brionne's concern with his son, traumatized by witnessing his mother's attack and death, and his attempt to help a young woman in distress take him to wild country where the same band of outlaws are trying to kill him, his son, the young woman, and anyone else traveling with him.  a good story.",Positive
i like most of louis l'amour's books and this is one is no exception. you want 6 more words. words words words words words words.,Positive
"typical book by louis l'amour one of the best you can read as you read it seems that you are riding the trail along the side of the stories character,  you see what he sees, you hear what he hears . can't go wrong with this author.",Positive
"brionne is another one of l amours great books. imagine how it would be to see the mountains, and canyons and desserts. what we see in the lower fourth eight, is nothing compared to back when they drove the golden spike when the railroads joined. however it is an awful lot like here in alaska.",Positive
"i enjoyed the book, i dislike reviewing l'aour's books because i haven't found one i did not like.he writes about the part of the country i love and of course i love westerns also.  in this book, as wellas others he has written it is a good cast of characters and the story line is easy to follow.i could write mnore but then i would be into the book.  good read.",Positive
"i needed an evening of relaxed reading, settling in with an old friend whose story i'd already heard, so i picked up louis l'amour's brionne.  l'amour was a staple when i was growing up, and i still return to him again and again as i go along.  fair blows the wind remains my favorite novel by the author because it's such a combination of old world swordplay, coming of age, and early americana.  but that's beside the point.in james brionne, l'amour creates one of his best fighting men, a man who'd served in the union army during the civil war, a man who had the ear of president grant - and a man who had lost his wife to tragic circumstances.  the first few pages of the book draw the reader in and sets him on a journey to see good triumph over evil.the book is much as i remember it, written with a lot of introspection and bouncing around from character to character, with less action and tension than i would have liked.  l'amour also instills a romantic lyricism in his word choice, though.  james brionne is an educated man, a thinker, and that shows on the pages.there's no real tension about where the reader is going to get during the read because the endgame is almost transparent.  still, l'amour manages to throw a couple curves in there that will leave you unsettled about a few things as you turn the pages.i wish there had been a little more to the story, and even the ending just seems to coast to a halt rather than escalating.  the pieces just fall together without any real stress or narrative tension.the plot is pretty thin even for a l'amour novel, but the tale pulled me through again, and even though i knew how the book ended, and would have known anyway because it's so clear, i enjoyed roving through the old west and stepping through my own past.",Positive
l'among classic.  great read. great book . great on the my kendle. . . . . . . . ..,Positive
"i look forward to getting to the next books, and sometimes can't recall exactly what the book was about, but it is a very good book, and real good reading.'",Positive
"he had an english accent which he seemed trying to hide. i don't know this, but my impression is that europeons now own the wsj.england s a great country, but i'm suspicious of europeon socialism. (i really can't spell it.) in particular the brits are proud of their writing ability, and rightly so, but i'd rather have americans brainwashing americans, bad as that may be.",Positive
"somewhat of a disappointment.  the articles were all there, but i missed pepper and salt and the list of declared dividends, currency exchange, weather.  these were the small things that i would like for travel, the whole stack of paperes was waiting for me at home.  this was just a stop-gap for travel abroad where the wsj was not available.",Negative
1. costs more than delivered to your door paper and online version combined.2. very confusing to read. not intuitive.3. layout is a nightmare4. cant find anything like in the paper or online version.5. price went up even more.i cancelled until they get it right just like everyone else who has tried it. big let down.,Positive
"the wsj for kindle is overpriced, and the customer service has gone completely haywire since the newspaper was bought out.  i have read and subscribed by kindle, print edition, and iphone app (wsj mobile).  unfortunately, they are all horrible in contebt delivery--even though the writing is still superb--and try calling them.  10 minute waits to speak to someone in a different country who will put you on hold, and then when you try to cancel, it is abysmal.  more waiting.  i will never be part of wsj online, pinrt, mobile or kindle after my recent experiences.  again, the company has been bought out and is now on its way out.  beware.",Negative
"although wsj has good reporting and covers all the news, the price keeps going up.  i often buy alternatives due to the inflated price.  i don't think the kindle version of wsj is that much better than other sources of financial news (financial times, for example) to justify the price difference.",Positive
"i've been an occasional reader of the wall street journal for many years, but had never really considered subscribing to it. for the most part i've been happy to get my news for free online from a variety of sources, but of late i've been craving a more consistent access to the kind of high quality news stories that wsj is known for. i decided to check out several subscription options, and compare them to each other. the kindle version, even though it is very limited in many respects, turns out to be pretty good and in line with my expectations for what i wanted to get out of reading wsj.once you subscribe to wsj, you can setup the delivery to any one of your kindle devices or enabled kindle readers. you can also manually download the current issue of wsj to another device, but the automatic downloads are enabled for only one device at the time (you can change which one in the online kindle setting at any time). kindle formatting of wsj leaves a lot to be desired. as you may imagine, the reading experience will be much closer to reading a book than a newspaper. i don't mind this all that much, as wsj has always been a pretty text-heavy newspaper. the exceptions are the graphs and charts, which can be almost illegible when presented on kindle. the sections and articles are well organized and easily accessible through the menu, and i am overall pleased with the navigation options. in terms of formatting, i still prefer the dedicated wsj ipad version, but the kindle version gets the job done.one big difference between the kindle version and those for various tablets is that you won't be able to access various embedded videos on kindle (not even in the tablet version of kindle software). those small video clips are indeed a lot of fun, and definitely add to the overall ""reading"" experience. however, they also add to the size of the download, and unless you have a really fast wireless connection and the latest version of the tablet, the download can be choppy. for me these videos are a nice addition, but they are not crucial.as far as the price goes, yes, wall street journal on kindle is kind of expensive. however, keep in mind that you can in principle cancel your subscription without much trouble after any number of months has passed, something that in my experience is not that easy to pull off with a print subscription of any newspaper. i do consider wsj to be a very high quality publication, and in my opinion the price is reasonable for the kind of content and convenience that you get. we've all been spoiled by the years of de-facto free online access to various newspapers and magazines, but unfortunately this free-for-all state of affairs has lead many fine journals and newspapers to shut down.if you are seeking the convenience and the ease of use that the kindle version of wsj provides, and are not too concerned with the formatting and various bells and whistles, then i'd definitely recommend that you check it out. so far i've been more satisfied than i had expected based on all the negative reviews that i have read.",Positive
"this is it, the big kahuna of financial newspapers delivered right to your kindle. you do not even need to get out of bed or off the throne to retrieve a soggy paper version from your snowed in yard.just read it right there on your beloved kindle.the problem is the high price for what you get and the pesky drm content that you have to put up with.all the kindle content is like this. this is the evil drm inherent in the kindle. it only lets you view the content on the kindle. no printing articles, no emailing articles to a friend, no using it in presentations. you are stuck. very evil is it not !so, if you can live with the price and restrictions of drm then go for it my friend.",Negative
"i read nearly all my books and magazines on kindle.  i have had a paper subscription for the wsj for several years but have trouble reading the small print.  nevertheless, i renewed it via amazon and kindle in the apparently mistaken belief that i would be able to read it on more than my kindle (i have two).  first of all, i had one hell of a time getting it to open on the kindle fire.  after much fumbling, i managed.  there are some serious problems with the app: the type face sizes are too small (hardly larger than the print version) and now i can't get it to open on the ipad.  i could have continued with the online version on the ipad and kindle (i'm going to start receiving the print version soon, i hope) cheaper - but opted for the amazon version thinking mistakenly that i would be able to read it on the ipad with the larger screen.  this isn't quite a disaster - but it comes close.if i were you, i'd buy the print/digital combination directly and use either the kindle or the ipad - not the special app.ok, i'm part of the disaster - i thought i was ordering the kindle and print versions and somehow managed to just order the print version.  after a cordial conversation with amazon, i cancelled the order - the amazon print version is nearly 50% more than the same offer from the wsj.  i then bought the wsj on line, logged in on my kindle and presto - a decent readable product (type size is still too small) on line.  i can now read it on the kindle fire, my imac - and if i can find my ipad, probably there.  all things considered, the product is a good one - but the price extracted for buying it thru amazon is too high.  i suppose i'll have to change my email -",Positive
"this is an update of my original review...the content of the kindle version of wsj is very similar to what you would find getting the print edition delivered.  there are some things missing such as stock quotes but that's ok because it's easier to look up and read stock quotes and such on the web.  the format makes navigating the paper a bit cumbersome.  graphs, photos, and other graphics are poor in the kindle format.  it helps that this subscription comes with wsj online and iphone access.  wsj online is very good and the iphone app is terrible.  not only is the content via the iphone app incomplete, you have to put up with ads!considering the new cost of $21.62/month or $.072/day i think the cost for electronic format is way overpriced considering its deficiencies.  i am seriously considering canceling.6/2/2012 update: i have canceled my subscription.",Negative
"ten days into my trial subscription and i have decided to cancel. have read the wsj for 30 years and i guess i have one foot in the digital world and one in the analog world.i won't repeat all of the other comments, i can concur on the difficulties of making the transition to kindle reading. if i was still in a job that had me traveling alot it might make sense but since i pick up my wsj of my front porch it just doesn't work.the one thing that really baffles me is how to cancel a free trial. unless the magic button is hiding right out in the open, i can't find a website or kindle method to cancel. i had to call into customer service and yes, it got taken care of but i was disconnected three times before i made it into the queue, the fidelity of the call made it almost impossible to understand what the person was saying, and the english of the rep was spotty at best. not up to the usual amazon quality.",Positive
always love to get this newspaper in my kindle. i really enjoy the insightful opinion pieces. quick read on the days headlines and how they apply to us non financial types. please enjoy. i know i do.,Positive
this paper costs a lot per online issue but there's lots of good content.i'd like to choose what region to download from.  maybe there's some way to do that but i always get the nyc version.good newspaper.,Positive
"my combination online/print version of the wsj cost $160 per year.  the kindle version alone will run me $180 per year.  i might buy single issues for .99 a day on vacation but otherwise, i guess i'll keep filling up the landfills.  at the old $100 per year i would have switched.  amazon...are you listening???",Positive
